x,y,real_psi_tilde,imag_psi_tilde,physical_density
-6.0000000000000000e+00,-6.0000000000000000e+00,-2.2205281111170441e-10,0.0000000000000000e+00,3.5063076211633973e-19
-5.6250000000000000e+00,-6.0000000000000000e+00,-6.3790379743674002e-12,0.0000000000000000e+00,2.8936622562432953e-22
-5.2500000000000000e+00,-6.0000000000000000e+00,2.0998060952954171e-11,0.0000000000000000e+00,3.1354208980194036e-21
-4.8750000000000000e+00,-6.0000000000000000e+00,5.4531289830368329e-10,0.0000000000000000e+00,2.1146037835119164e-18
-4.5000000000000000e+00,-6.0000000000000000e+00,1.3304126317192225e-10,0.0000000000000000e+00,1.2586650813426259e-19
-4.1250000000000000e+00,-6.0000000000000000e+00,-6.3370698183450461e-11,0.0000000000000000e+00,2.8557122760945574e-20
-3.7500000000000000e+00,-6.0000000000000000e+00,8.6760349099608915e-10,0.0000000000000000e+00,5.3527880361856069e-18
-3.3750000000000000e+00,-6.0000000000000000e+00,7.7976716228506333e-10,0.0000000000000000e+00,4.3238174391331581e-18
-3.0000000000000000e+00,-6.0000000000000000e+00,3.7447554597095904e-09,0.0000000000000000e+00,9.9720486777065132e-17
-2.6250000000000000e+00,-6.0000000000000000e+00,5.4180694292195115e-09,0.0000000000000000e+00,2.0875005397221717e-16
-2.2500000000000000e+00,-6.0000000000000000e+00,1.1234850539762014e-08,0.0000000000000000e+00,8.9757771840562366e-16
-1.8750000000000000e+00,-6.0000000000000000e+00,2.0384918752994341e-08,0.0000000000000000e+00,2.9549860449150604e-15
-1.5000000000000000e+00,-6.0000000000000000e+00,3.9921807673128646e-08,0.0000000000000000e+00,1.1333338509441942e-14
-1.1250000000000000e+00,-6.0000000000000000e+00,6.4884781617260677e-08,0.0000000000000000e+00,2.9938025852583883e-14
-7.5000000000000000e-01,-6.0000000000000000e+00,8.9124531305328847e-08,0.0000000000000000e+00,5.6484850349472292e-14
-3.7500000000000000e-01,-6.0000000000000000e+00,1.0861186051383875e-07,0.0000000000000000e+00,8.3886479959307133e-14
0.0000000000000000e+00,-6.0000000000000000e+00,1.1500437939410818e-07,0.0000000000000000e+00,9.4051607323192698e-14
3.7500000000000000e-01,-6.0000000000000000e+00,1.0894591608180859e-07,0.0000000000000000e+00,8.4403289819765175e-14
7.5000000000000000e-01,-6.0000000000000000e+00,9.0431079197017858e-08,0.0000000000000000e+00,5.8153102824798701e-14
1.1250000000000000e+00,-6.0000000000000000e+00,6.4464701212490168e-08,0.0000000000000000e+00,2.9551628106066711e-14
1.5000000000000000e+00,-6.0000000000000000e+00,3.9921746979427853e-08,0.0000000000000000e+00,1.1333304048991693e-14
1.8750000000000000e+00,-6.0000000000000000e+00,2.1048045615587645e-08,0.0000000000000000e+00,3.1503660390105478e-15
2.2500000000000000e+00,-6.0000000000000000e+00,1.1815428950998171e-08,0.0000000000000000e+00,9.9274212477216518e-16
2.6250000000000000e+00,-6.0000000000000000e+00,5.9712246701880913e-09,0.0000000000000000e+00,2.5355039332880268e-16
3.0000000000000000e+00,-6.0000000000000000e+00,1.8201212973668869e-09,0.0000000000000000e+00,2.3557984264025030e-17
3.3750000000000000e+00,-6.0000000000000000e+00,1.4952476873268834e-09,0.0000000000000000e+00,1.5898777930356573e-17
3.7500000000000000e+00,-6.0000000000000000e+00,2.4183658134703067e-10,0.0000000000000000e+00,4.1589285032973499e-19
4.1250000000000000e+00,-6.0000000000000000e+00,7.3387500217827934e-10,0.0000000000000000e+00,3.8298490227354275e-18
4.5000000000000000e+00,-6.0000000000000000e+00,-2.3193594928338958e-10,0.0000000000000000e+00,3.8253713471990801e-19
4.8750000000000000e+00,-6.0000000000000000e+00,5.5414799976111015e-11,0.0000000000000000e+00,2.1836800401012575e-20
5.2500000000000000e+00,-6.0000000000000000e+00,2.3739111168978490e-10,0.0000000000000000e+00,4.0074339491066255e-19
5.6250000000000000e+00,-6.0000000000000000e+00,-8.8355050882284779e-11,0.0000000000000000e+00,5.5513706783368054e-20
-6.0000000000000000e+00,-5.6250000000000000e+00,-8.8692227027576573e-10,0.0000000000000000e+00,5.5938212516346194e-18
-5.6250000000000000e+00,-5.6250000000000000e+00,-8.6192175495927396e-11,0.0000000000000000e+00,5.2829092385569763e-20
-5.2500000000000000e+00,-5.6250000000000000e+00,3.5417752834729212e-10,0.0000000000000000e+00,8.9203002016851146e-19
-4.8750000000000000e+00,-5.6250000000000000e+00,1.9820634318652752e-09,0.0000000000000000e+00,2.7936536518667041e-17
-4.5000000000000000e+00,-5.6250000000000000e+00,7.7423068444236898e-10,0.0000000000000000e+00,4.2626357527615939e-18
-4.1250000000000000e+00,-5.6250000000000000e+00,2.3446336695732707e-10,0.0000000000000000e+00,3.9091961205309303e-19
-3.7500000000000000e+00,-5.6250000000000000e+00,3.9569005210939179e-09,0.0000000000000000e+00,1.1133910566281473e-16
-3.3750000000000000e+00,-5.6250000000000000e+00,3.7443317225892050e-09,0.0000000000000000e+00,9.9697920346935766e-17
-3.0000000000000000e+00,-5.6250000000000000e+00,6.2961483819472868e-09,0.0000000000000000e+00,2.8189500051553733e-16
-2.6250000000000000e+00,-5.6250000000000000e+00,2.2179825749289383e-08,0.0000000000000000e+00,3.4982732108006427e-15
-2.2500000000000000e+00,-5.6250000000000000e+00,3.6236647153754802e-08,0.0000000000000000e+00,9.3375615782807186e-15
-1.8750000000000000e+00,-5.6250000000000000e+00,6.2460691273639298e-08,0.0000000000000000e+00,2.7742847675597372e-14
-1.5000000000000000e+00,-5.6250000000000000e+00,1.0896712536060210e-07,0.0000000000000000e+00,8.4436155799844786e-14
-1.1250000000000000e+00,-5.6250000000000000e+00,2.1248241302575303e-07,0.0000000000000000e+00,3.2105796156619880e-13
-7.5000000000000000e-01,-5.6250000000000000e+00,3.2006599680767240e-07,0.0000000000000000e+00,7.2847816755547708e-13
-3.7500000000000000e-01,-5.6250000000000000e+00,3.6776130254285893e-07,0.0000000000000000e+00,9.6176622683036601e-13
0.0000000000000000e+00,-5.6250000000000000e+00,3.7675860038547765e-07,0.0000000000000000e+00,1.0094011944136820e-12
