picard,relative_change,inner_global_residual,inner_sweeps,solution_max_bond,density_max_bond,max_inner_truncation
1,2.4747862544883145e-01,4.5778699071625235e-05,3,25,4,9.2148511043887993e-15
2,9.4442198120757603e-02,4.0413567167907426e-06,1,27,51,1.1324274851176597e-14
3,5.6191517862901573e-02,5.5635344958856768e-06,1,27,55,7.7715611723760958e-15
4,3.3571375094747259e-02,4.0543218174732357e-06,1,27,53,1.7763568394002505e-14
5,1.9674241558072056e-02,3.4776767531141148e-06,1,26,54,1.0325074129013956e-14
6,1.1168285542789912e-02,3.4082034424038723e-06,1,26,52,8.7707618945387367e-15
7,6.1727518709363783e-03,3.0868475885801490e-06,1,26,50,1.1657341758564144e-14
8,3.3495074285392070e-03,2.8540399112223560e-06,1,26,50,1.3322676295501878e-14
9,1.7948550763364230e-03,3.2005234252446950e-06,1,26,49,1.1990408665951691e-14
10,9.5303068172434744e-04,3.4274967210422420e-06,1,26,48,1.3655743202889425e-14
11,5.0246732633133027e-04,3.4067483039829872e-06,1,26,46,8.8817841970012523e-15
12,2.6342333744788755e-04,3.3620054403690501e-06,1,26,46,8.5487172896137054e-15
13,1.3746440151435015e-04,3.3539395141418663e-06,1,26,46,9.4368957093138306e-15
14,7.1460915104774032e-05,3.3549258062034320e-06,1,26,45,8.3266726846886741e-15
15,3.7029650109459322e-05,3.3564730535229979e-06,1,26,45,8.5487172896137054e-15
16,1.9135409416276545e-05,3.3573574663330376e-06,1,26,45,8.6597395920762210e-15
17,9.8649845559759983e-06,3.3577474074441013e-06,1,26,45,8.7707618945387367e-15
